latitude,longitude,brightness,scan,track,acq_date,acq_time,confidence,frp
36.74243,137.87331,324.19,1.05,1.02,2026-04-14,3,83,21.2
36.74387,137.86211,332.74,1.05,1.02,2026-04-14,3,88,32.44
36.75136,137.87517,325.43,1.05,1.02,2026-04-14,3,84,21.5
36.7528,137.86397,344.8,1.05,1.02,2026-04-14,3,94,52.55
-17.17379,128.45996,345.9,1.03,1.01,2026-04-14,16,94,51.6
-17.1725,128.45053,369.97,1.03,1.01,2026-04-14,16,100,116.65
-16.76859,126.33916,317.34,1.03,1.02,2026-04-14,16,72,10.25
-16.63298,124.73669,330.97,1.21,1.09,2026-04-14,16,85,32.44
-16.62333,124.73817,340.76,1.21,1.09,2026-04-14,16,91,52.03
-16.62159,124.72719,322.4,1.21,1.09,2026-04-14,16,78,19.73
-16.29159,125.04007,316.96,1.17,1.08,2026-04-14,16,72,12.83
-16.28991,125.02938,331.69,1.17,1.08,2026-04-14,16,86,33.57
-16.2866,125.0365,317.53,1.17,1.08,2026-04-14,16,73,12.99
-16.16293,125.39812,316.91,1.13,1.06,2026-04-14,16,72,12.72
-16.12432,125.98236,325.63,1.07,1.03,2026-04-14,16,80,19.71
-16.10755,125.99497,322.44,1.07,1.03,2026-04-14,16,78,15.91
-16.10165,125.95598,328.72,1.07,1.03,2026-04-14,16,84,25.61
-16.10017,125.9462,319.57,1.08,1.04,2026-04-14,16,76,15.13
-15.94579,130.06819,338.22,1.16,1.07,2026-04-14,16,90,42.5
-15.94442,130.05771,316.8,1.15,1.07,2026-04-14,16,71,10.55
-15.93683,130.29826,318.35,1.19,1.08,2026-04-14,16,73,14.66
-15.93633,130.0695,338.78,1.16,1.07,2026-04-14,16,90,43.45
-15.93495,130.05901,355.66,1.15,1.07,2026-04-14,16,98,84.96
-15.92825,130.0815,317.04,1.16,1.07,2026-04-14,16,72,11.46
-15.86273,129.30571,326.66,1.07,1.03,2026-04-14,16,73,19.91
-15.85359,129.30698,355.71,1.07,1.03,2026-04-14,16,98,75.98
-15.85227,129.29724,338.29,1.07,1.03,2026-04-14,16,89,37.85
-15.82289,125.69392,314.99,1.11,1.05,2026-04-14,16,70,11.06
-15.28376,125.68539,322.26,1.12,1.06,2026-04-14,16,78,18.93
-15.27697,125.68258,326.49,1.12,1.06,2026-04-14,16,76,22.52
-14.18691,132.36256,327.85,1.52,1.22,2026-04-14,16,83,37.99
57.94513,60.06273,309.34,1.0,1.0,2026-04-14,16,77,14.58
-19.63761,136.21893,327.25,3.57,1.77,2026-04-14,18,83,129.62
-19.62429,136.19249,335.86,3.55,1.77,2026-04-14,18,89,196.92
-19.62186,136.22044,320.4,3.57,1.77,2026-04-14,18,70,84.66
-19.61893,136.1873,326.72,3.55,1.77,2026-04-14,18,83,124.97
-19.27385,128.54233,318.2,1.07,1.03,2026-04-14,18,70,11.36
-19.27251,128.53241,361.09,1.07,1.03,2026-04-14,18,100,91.94
-19.27117,128.52249,344.32,1.07,1.03,2026-04-14,18,93,49.58
-19.26472,128.54364,317.51,1.07,1.03,2026-04-14,18,72,11.27
-19.19415,128.43294,324.36,1.06,1.03,2026-04-14,18,78,17.96
-19.17917,128.522,326.31,1.06,1.03,2026-04-14,18,81,20.45
-19.1772,128.37537,325.0,1.05,1.02,2026-04-14,18,80,20.37
-19.17589,128.36557,352.51,1.05,1.02,2026-04-14,18,97,68.36
-19.17458,128.35577,346.23,1.05,1.02,2026-04-14,18,94,54.51
-19.17327,128.34599,342.75,1.05,1.02,2026-04-14,18,92,47.44
-19.16684,128.36331,323.06,1.05,1.02,2026-04-14,18,78,16.99
-19.1655,128.35353,353.52,1.05,1.02,2026-04-14,18,97,70.92
-19.05548,128.42548,325.32,1.05,1.03,2026-04-14,18,72,17.67
-19.05416,128.4157,370.47,1.05,1.02,2026-04-14,18,100,119.71
-19.05283,128.40591,385.46,1.05,1.02,2026-04-14,18,100,183.93
-19.05151,128.39613,437.37,1.05,1.02,2026-04-14,18,100,598.23
-19.05018,128.38637,328.67,1.05,1.02,2026-04-14,18,83,23.42
-19.04774,128.43661,328.23,1.05,1.03,2026-04-14,18,83,20.96
-19.04641,128.42682,375.67,1.05,1.03,2026-04-14,18,100,138.93
-19.04509,128.41702,395.7,1.05,1.02,2026-04-14,18,100,238.37
-19.04376,128.40724,419.32,1.05,1.02,2026-04-14,18,100,412.48
-19.04244,128.39746,365.52,1.05,1.02,2026-04-14,18,100,103.25
-19.03734,128.42813,321.16,1.05,1.03,2026-04-14,18,77,12.37
-18.39626,124.60056,339.69,1.17,1.07,2026-04-14,18,90,45.13
-18.36849,124.67137,326.21,1.16,1.07,2026-04-14,18,80,21.34
-18.17599,128.05217,324.34,1.02,1.01,2026-04-14,18,80,16.47
-18.0997,125.67717,321.59,1.06,1.03,2026-04-14,18,75,14.44
-18.09017,129.7549,318.18,1.17,1.08,2026-04-14,18,74,15.96
-18.03937,125.52569,319.19,1.07,1.03,2026-04-14,18,72,12.62
