latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
26.60615,94.39596,301.19,1.17,1.08,2026-01-26,0312,Terra,MODIS,45,6.1NRT,289.17,5.53,D
26.59675,94.39401,300.7,1.17,1.08,2026-01-26,0312,Terra,MODIS,41,6.1NRT,289.2,5.26,D
26.51566,94.7094,305.06,1.22,1.1,2026-01-26,0312,Terra,MODIS,60,6.1NRT,288.43,9.89,D
26.60126,93.25143,308.09,1.06,1.03,2026-01-26,0312,Terra,MODIS,63,6.1NRT,290.57,8.74,D
24.35723,92.92335,303.28,1.08,1.04,2026-01-26,0312,Terra,MODIS,55,6.1NRT,290,6.57,D
24.34635,92.6925,303.17,1.06,1.03,2026-01-26,0312,Terra,MODIS,55,6.1NRT,289.55,6.24,D
24.34481,92.70247,304.23,1.06,1.03,2026-01-26,0312,Terra,MODIS,58,6.1NRT,289.36,6.69,D
25.03295,87.37566,301.86,1.38,1.16,2026-01-26,0312,Terra,MODIS,45,6.1NRT,291.55,5.97,D
23.9618,93.02741,303.57,1.09,1.04,2026-01-26,0312,Terra,MODIS,56,6.1NRT,288.95,7,D
23.95262,93.02612,300.2,1.09,1.04,2026-01-26,0312,Terra,MODIS,31,6.1NRT,288.4,4.72,D
23.79394,86.35573,304.94,1.55,1.23,2026-01-26,0312,Terra,MODIS,14,6.1NRT,292.05,7.88,D
23.76255,86.40553,309.53,1.53,1.22,2026-01-26,0312,Terra,MODIS,14,6.1NRT,292.76,12.14,D
23.77392,86.21047,303.38,1.58,1.24,2026-01-26,0312,Terra,MODIS,56,6.1NRT,291.82,9.06,D
23.68717,86.39561,302.35,1.53,1.22,2026-01-26,0312,Terra,MODIS,0,6.1NRT,291.62,7.75,D
23.55061,87.24693,302.41,1.34,1.15,2026-01-26,0312,Terra,MODIS,39,6.1NRT,292.26,5.97,D
22.03503,83.73454,305.43,2.27,1.46,2026-01-26,0314,Terra,MODIS,58,6.1NRT,291.25,16.52,D
22.03567,83.72862,303.79,2.27,1.46,2026-01-26,0314,Terra,MODIS,57,6.1NRT,291.26,14.6,D
20.96671,85.16686,309.28,1.71,1.28,2026-01-26,0314,Terra,MODIS,68,6.1NRT,293.46,15.81,D
20.96487,85.18292,309.95,1.71,1.28,2026-01-26,0314,Terra,MODIS,69,6.1NRT,293.58,17.14,D
20.79717,85.2522,303.45,1.68,1.27,2026-01-26,0314,Terra,MODIS,55,6.1NRT,291.26,8.84,D
20.79567,85.26193,303.32,1.68,1.27,2026-01-26,0314,Terra,MODIS,37,6.1NRT,291.69,8.4,D
28.28878,73.37451,308.04,1.81,1.32,2026-01-26,0450,Terra,MODIS,46,6.1NRT,288.65,14.76,D
27.63572,72.6926,303.36,1.68,1.27,2026-01-26,0450,Terra,MODIS,42,6.1NRT,286.71,8.85,D
27.48414,71.99274,317.11,1.52,1.22,2026-01-26,0450,Terra,MODIS,0,6.1NRT,284.22,23.39,D
23.59238,69.18793,300.53,1.2,1.09,2026-01-26,0453,Terra,MODIS,38,6.1NRT,287.15,5.05,D
22.26921,70.27554,302.04,1.46,1.19,2026-01-26,0453,Terra,MODIS,50,6.1NRT,286.14,7.36,D
22.20807,70.21537,300.48,1.45,1.19,2026-01-26,0453,Terra,MODIS,30,6.1NRT,284.38,5.23,D
22.14409,70.53378,305.43,1.53,1.22,2026-01-26,0453,Terra,MODIS,61,6.1NRT,287.77,9.31,D
22.00391,70.61896,313.32,1.56,1.23,2026-01-26,0453,Terra,MODIS,73,6.1NRT,295.33,18.39,D
22.00141,70.63352,324.52,1.56,1.23,2026-01-26,0453,Terra,MODIS,83,6.1NRT,295.21,38.72,D
21.90373,71.13194,308.3,1.7,1.28,2026-01-26,0453,Terra,MODIS,57,6.1NRT,289.55,14.13,D
20.90003,72.88087,306.16,2.4,1.49,2026-01-26,0453,Terra,MODIS,55,6.1NRT,294.38,14.04,D
21.01773,70.55747,306.14,1.61,1.25,2026-01-26,0453,Terra,MODIS,54,6.1NRT,295.08,8.86,D
17.76445,80.77695,310.32,2.7,1.57,2026-01-26,0904,Aqua,MODIS,45,6.1NRT,299.01,19.76,D
18.24413,82.05627,314.95,2.1,1.41,2026-01-26,0904,Aqua,MODIS,66,6.1NRT,300.8,18.93,D
18.62746,82.05254,309.66,2.07,1.4,2026-01-26,0904,Aqua,MODIS,54,6.1NRT,297.94,10.31,D
20.54395,86.49062,331.65,1.04,1.02,2026-01-26,0904,Aqua,MODIS,85,6.1NRT,302.13,26.45,D
20.54247,86.48096,312.78,1.05,1.02,2026-01-26,0904,Aqua,MODIS,59,6.1NRT,301.22,5.44,D
20.5292,85.98241,316.24,1.09,1.04,2026-01-26,0904,Aqua,MODIS,52,6.1NRT,301.32,8.79,D
