latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
26.46863,94.74147,367,0.7,0.75,2026-01-26,0554,N,VIIRS,h,2.0NRT,294.43,30.95,D
26.46696,94.73524,367,0.7,0.75,2026-01-26,0554,N,VIIRS,h,2.0NRT,291.85,30.95,D
26.4709,94.75,327.6,0.7,0.75,2026-01-26,0554,N,VIIRS,n,2.0NRT,288.54,25.6,D
26.4621,94.74435,367,0.7,0.75,2026-01-26,0554,N,VIIRS,h,2.0NRT,294.62,21.5,D
26.47324,94.7314,367,0.7,0.75,2026-01-26,0554,N,VIIRS,h,2.0NRT,293.15,30.95,D
26.47143,94.72458,332.86,0.7,0.75,2026-01-26,0554,N,VIIRS,n,2.0NRT,290.7,18.38,D
26.46406,94.74923,345.19,0.7,0.75,2026-01-26,0554,N,VIIRS,n,2.0NRT,289.43,30.19,D
26.46224,94.74258,354.52,0.7,0.75,2026-01-26,0554,N,VIIRS,n,2.0NRT,293.89,30.19,D
26.86267,95.37835,333.67,0.63,0.72,2026-01-26,0554,N,VIIRS,n,2.0NRT,291.45,9.19,D
26.61455,94.71342,344,0.69,0.74,2026-01-26,0554,N,VIIRS,n,2.0NRT,289.82,9.63,D
26.46081,94.73736,343.21,0.7,0.75,2026-01-26,0554,N,VIIRS,n,2.0NRT,289.05,20.33,D
26.46869,94.73943,367,0.7,0.75,2026-01-26,0554,N,VIIRS,h,2.0NRT,293.23,30.19,D
26.46699,94.73319,367,0.7,0.75,2026-01-26,0554,N,VIIRS,h,2.0NRT,291.24,20.33,D
26.47073,94.74692,338.44,0.7,0.75,2026-01-26,0554,N,VIIRS,n,2.0NRT,288.06,30.19,D
26.47329,94.72947,367,0.7,0.75,2026-01-26,0554,N,VIIRS,h,2.0NRT,292.98,26.54,D
26.52107,94.71712,328.99,0.7,0.75,2026-01-26,0554,N,VIIRS,n,2.0NRT,289.09,6.61,D
25.97865,94.27698,348.33,0.76,0.77,2026-01-26,0554,N,VIIRS,n,2.0NRT,287.69,19.25,D
26.46068,94.73905,353.02,0.7,0.75,2026-01-26,0554,N,VIIRS,n,2.0NRT,289.72,21.5,D
28.20772,97.00471,328.25,0.47,0.64,2026-01-26,0557,N,VIIRS,n,2.0NRT,283.95,8.7,D
28.02594,95.3949,341.5,0.59,0.7,2026-01-26,0557,N,VIIRS,n,2.0NRT,293.19,5.6,D
28.36231,97.08603,349.06,0.46,0.64,2026-01-26,0557,N,VIIRS,n,2.0NRT,288.82,16.33,D
28.05023,96.0359,348.24,0.54,0.68,2026-01-26,0557,N,VIIRS,n,2.0NRT,290.89,6.92,D
28.04401,96.0373,330.34,0.54,0.68,2026-01-26,0557,N,VIIRS,n,2.0NRT,291.9,6.92,D
28.2061,96.99831,337.73,0.47,0.64,2026-01-26,0557,N,VIIRS,n,2.0NRT,280.19,8.12,D
28.21091,97.01736,329.79,0.47,0.64,2026-01-26,0557,N,VIIRS,n,2.0NRT,288.15,7.62,D
28.2115,97.01969,349.17,0.47,0.64,2026-01-26,0557,N,VIIRS,n,2.0NRT,290.84,11.36,D
27.29626,94.79942,326.78,0.66,0.73,2026-01-26,0557,N,VIIRS,n,2.0NRT,290.98,3.87,D
26.9262,95.10879,336.45,0.65,0.73,2026-01-26,0557,N,VIIRS,n,2.0NRT,290.84,6.76,D
8.49655,77.33263,354.27,0.51,0.66,2026-01-26,0730,N,VIIRS,n,2.0NRT,289.74,8.69,D
9.98031,76.8745,338.4,0.52,0.67,2026-01-26,0733,N,VIIRS,n,2.0NRT,291.67,4.38,D
13.6221,75.79969,353.45,0.52,0.67,2026-01-26,0733,N,VIIRS,n,2.0NRT,297.72,9.44,D
14.72778,75.96069,331.49,0.49,0.65,2026-01-26,0733,N,VIIRS,n,2.0NRT,294.49,3.48,D
14.73483,75.63199,333.54,0.51,0.66,2026-01-26,0733,N,VIIRS,n,2.0NRT,292.19,1.92,D
14.73473,75.63322,333.16,0.51,0.66,2026-01-26,0733,N,VIIRS,n,2.0NRT,292.26,1.91,D
15.09977,75.92578,343.68,0.48,0.65,2026-01-26,0733,N,VIIRS,n,2.0NRT,297.28,6.72,D
16.47114,80.52235,331.95,0.46,0.47,2026-01-26,0733,N,VIIRS,n,2.0NRT,300.41,2.28,D
16.47304,80.5228,331.78,0.46,0.47,2026-01-26,0733,N,VIIRS,n,2.0NRT,300.64,2.35,D
16.49008,80.47075,333.51,0.46,0.47,2026-01-26,0733,N,VIIRS,n,2.0NRT,300.48,2.96,D
16.50144,80.45967,341.44,0.46,0.47,2026-01-26,0733,N,VIIRS,n,2.0NRT,303.17,4.31,D
16.05558,76.89825,337.86,0.4,0.6,2026-01-26,0733,N,VIIRS,n,2.0NRT,297.64,1.41,D
16.64464,79.84366,332.21,0.5,0.49,2026-01-26,0733,N,VIIRS,n,2.0NRT,299.88,2.61,D
16.75578,80.41985,341.35,0.46,0.47,2026-01-26,0733,N,VIIRS,n,2.0NRT,300.48,7.44,D
17.96752,82.82178,331.96,0.48,0.4,2026-01-26,0735,N,VIIRS,n,2.0NRT,298.33,3.9,D
17.59418,80.99258,341.8,0.41,0.45,2026-01-26,0735,N,VIIRS,n,2.0NRT,302.8,3.41,D
19.39579,84.71049,329.96,0.4,0.37,2026-01-26,0735,N,VIIRS,n,2.0NRT,304.39,1.57,D
19.2541,83.84714,333.59,0.42,0.38,2026-01-26,0735,N,VIIRS,n,2.0NRT,304.45,2.85,D
18.65529,80.4728,346.15,0.42,0.45,2026-01-26,0735,N,VIIRS,n,2.0NRT,300.11,7.77,D
19.26166,83.84987,345.44,0.42,0.38,2026-01-26,0735,N,VIIRS,n,2.0NRT,306.53,8.12,D
17.73307,75.53783,367,0.45,0.63,2026-01-26,0735,N,VIIRS,h,2.0NRT,297.58,7.57,D
17.73216,75.53354,346.07,0.45,0.63,2026-01-26,0735,N,VIIRS,n,2.0NRT,296.44,7.57,D
17.70891,75.33792,331.08,0.47,0.64,2026-01-26,0735,N,VIIRS,n,2.0NRT,294.77,3.48,D
17.73183,75.53608,367,0.45,0.63,2026-01-26,0735,N,VIIRS,h,2.0NRT,298.72,16.47,D
19.04606,81.99184,341.49,0.51,0.41,2026-01-26,0735,N,VIIRS,n,2.0NRT,303.41,9.69,D
17.76015,75.44346,333.25,0.46,0.64,2026-01-26,0735,N,VIIRS,n,2.0NRT,295.98,2.48,D
19.1454,82.1602,334.79,0.5,0.41,2026-01-26,0735,N,VIIRS,l,2.0NRT,306.12,5.71,D
19.14831,82.15475,330.78,0.5,0.41,2026-01-26,0735,N,VIIRS,l,2.0NRT,305.03,5.71,D
19.14581,82.15705,346.5,0.5,0.41,2026-01-26,0735,N,VIIRS,n,2.0NRT,306.61,12.17,D
18.03051,76.22311,334.04,0.4,0.6,2026-01-26,0735,N,VIIRS,n,2.0NRT,298.23,2.56,D
19.89623,85.86713,339.37,0.38,0.36,2026-01-26,0735,N,VIIRS,n,2.0NRT,302.65,2.27,D
18.27508,76.76395,348.66,0.37,0.58,2026-01-26,0735,N,VIIRS,n,2.0NRT,298.72,3.74,D
19.9352,85.81169,341.31,0.38,0.36,2026-01-26,0735,N,VIIRS,n,2.0NRT,302.52,4.57,D
19.86606,85.30051,334.03,0.39,0.36,2026-01-26,0735,N,VIIRS,n,2.0NRT,302.68,2.18,D
17.72565,73.96933,336.63,0.57,0.69,2026-01-26,0735,N,VIIRS,n,2.0NRT,293.13,5.09,D
20.14866,86.29998,335.58,0.38,0.36,2026-01-26,0735,N,VIIRS,n,2.0NRT,302.77,3.38,D
20.15917,86.34707,331.01,0.39,0.36,2026-01-26,0735,N,VIIRS,n,2.0NRT,300.56,1.58,D
20.16182,86.34611,346.22,0.39,0.36,2026-01-26,0735,N,VIIRS,n,2.0NRT,301.83,7.76,D
19.6057,82.85124,338.27,0.46,0.39,2026-01-26,0735,N,VIIRS,n,2.0NRT,303.83,2.39,D
20.18002,86.37689,330.07,0.39,0.36,2026-01-26,0735,N,VIIRS,l,2.0NRT,303.33,2.1,D
20.18333,86.37634,330.05,0.39,0.36,2026-01-26,0735,N,VIIRS,l,2.0NRT,301.7,2.1,D
